Id,SalePrice
1461,142460.0
1462,147615.0
1463,192720.0
1464,195250.0
1465,187628.5
1466,183200.0
1467,177543.4
1468,175118.5
1469,176906.0
1470,116590.0
1471,184600.0
1472,98770.0
1473,98050.0
1474,159550.0
1475,136390.0
1476,405464.2
1477,284061.3
1478,291383.7
1479,255377.6
1480,418028.0
1481,296530.0
1482,203763.0
1483,185690.6
1484,168476.5
1485,171140.0
1486,186095.0
1487,318309.9
1488,239838.1
1489,203265.6
1490,196750.0
1491,187233.5
1492,102650.0
1493,178940.0
1494,286300.0
1495,296100.0
1496,219797.8
1497,192545.0
1498,154493.7
1499,152000.4
1500,160861.6
1501,177980.0
1502,167245.0
1503,334076.3
1504,235160.0
1505,206900.0
1506,171350.0
1507,212297.9
1508,195740.0
1509,163005.0
1510,149465.0
1511,151800.0
1512,173380.0
1513,146380.0
1514,157680.0
1515,183230.0
1516,173600.0
1517,163092.5
1518,142635.9
1519,208660.5
1520,142595.0
1521,153065.0
1522,159300.0
1523,106085.0
1524,119530.0
1525,127050.0
1526,125170.0
1527,99147.6
1528,129752.5
1529,143238.0
1530,164790.0
1531,127380.0
1532,108430.0
1533,150540.5
1534,117665.0
1535,163530.0
1536,111278.3
1537,69729.3
1538,177550.0
1539,257862.4
1540,110793.4
1541,164490.0
1542,141690.0
1543,203290.0
1544,85335.0
1545,117240.0
1546,114190.0
1547,139950.0
1548,132313.4
1549,106970.0
1550,139390.0
1551,116920.0
1552,158850.0
1553,158720.0
1554,120040.0
1555,166580.0
1556,93549.3
1557,110430.0
1558,95150.0
1559,123228.7
1560,152890.0
1561,144170.0
1562,133470.0
1563,123800.0
1564,161438.7
1565,155590.0
1566,195423.5
1567,66440.0
1568,220350.0
1569,142320.0
1570,113700.0
1571,120070.0
1572,146900.0
1573,244105.8
1574,99400.0
1575,234323.5
1576,220750.0
1577,201685.6
1578,168790.0
1579,145950.0
1580,184035.0
1581,133050.0
1582,126800.0
1583,329647.7
1584,220150.0
1585,141080.0
1586,55933.3
1587,116765.0
1588,165140.0
1589,98440.0
1590,139500.0
1591,108765.0
1592,127547.1
1593,115720.0
1594,137282.1
1595,129990.0
1596,218980.0
1597,150640.0
1598,162923.5
1599,211200.0
1600,189030.0
1601,84071.1
1602,127507.5
1603,104155.0
1604,293450.0
1605,241390.0
1606,170120.0
1607,143350.5
1608,214919.2
1609,195569.1
1610,164150.0
1611,139000.0
1612,176540.0
